main_ingredients,vegetables,uncommon_seasoning,important_ingredients,purchase_frequency,purchase_location,ingredient_priority,kitchen_appliances,menu_change_frequency,daily_dish_selection,prep_time,cook_time,total_time,ingredients_per_dish
"pork,chicken,tilapia,tofu,eggs,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,mais,potato,tofu","laurel,calamansi",,two times a week,super market,"brand,price,freshness",food processor,daily,more than 6,5-10 minutes,30-40 minutes,40-50 minutes,2 to 4
"pork,chicken,tilapia,beef,shrimp,tofu,eggs,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,sili,okra,mais,potato,tofu","laurel,calamansi","fish sauce,soy sauce,vinegar,black pepper,salt,knorr cubes","everyday,two times a week","wet market,super market","availability,brand,price,freshness",,daily,more than 6,10-15 minutes,"10-20 minutes,20-30 minutes",30-40 minutes,6 to 8
"pork,chicken,tilapia,beef,shrimp,eggs,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,potato,sweet potato",calamansi,"garlic,vinegar,fish sauce",everyday,"wet market,super market",freshness,,daily,more than 6,5-10 minutes,20-30 minutes,30-40 minutes,2 to 4
"pork,chicken,tilapia,beef,shrimp,tofu,eggs,tuyo,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,pineapple,potato,tofu","laurel,calamansi","salt,pepper,garlic,onion",everyday,wet market,"price,freshness","food processor,pressure cooker,deep fryer",daily,more than 6,10-15 minutes,20-30 minutes,30-40 minutes,2 to 4
"pork,chicken,tilapia,beef,shrimp,tofu,eggs,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,okra,mais,pineapple,potato,sweet potato","laurel,calamansi,salted egg","garlic,onion",everyday,wet market,price,,daily,more than 6,5-10 minutes,10-20 minutes,30-40 minutes,2 to 4
"pork,chicken,tilapia,beef,shrimp,tofu,eggs,squid,rice","tomato,onion,garlic,ginger,lettuce,eggplant,squash,bok choy,malunggay,papaya,ampalaya,carrots,upo,okra,pineapple,potato,tofu,sweet potato","laurel,calamansi","vegetables,chicken,pork,fish",once per week,"wet market,super market,online shopping","price,freshness","microwave,food processor,pressure cooker",weekly,3 to 4,25-30 minutes,50-60 minutes,more than 1hr 10mins,4 to 6
"pork,chicken,tilapia,eggs,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,cabbage,eggplant,string beans,squash,bok choy,papaya,kangkong,ampalaya,carrots,sili","laurel,calamansi","salt,MSG",everyday,wet market,freshness,deep fryer,daily,more than 6,10-15 minutes,50-60 minutes,1 hr - 1hr 10 mins,2 to 4
"pork,chicken,tilapia,beef,tofu,eggs,squid,rice","tomato,onion,garlic,ginger,eggplant,string beans,squash,bok choy,malunggay,sayote,kangkong,ampalaya,carrots,upo,sili,okra,potato,tofu","laurel,calamansi","garlic,onion",everyday,"wet market,super market,wholesaler",freshness,pressure cooker,daily,more than 6,15-20 minutes,30-40 minutes,40-50 minutes,4 to 6
"pork,chicken,tilapia,eggs,sardines,tuyo,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,potato,tofu,sweet potato",laurel,"tomato,onion,garlic,pepper,tuyo","everyday,two times a week",wet market,"brand,price",microwave,"daily,weekly,monthly",more than 6,10-15 minutes,20-30 minutes,30-40 minutes,4 to 6
"pork,chicken,tilapia,beef,shrimp,eggs,squid,sausage/hotdog,rice","tomato,onion,garlic,ginger,lettuce,cabbage,eggplant,string beans,squash,bok choy,malunggay,sayote,papaya,kangkong,ampalaya,carrots,upo,sili,okra,mais,potato,sweet potato","laurel,calamansi","ginger,garlic,onion",once per week,"wet market,super market,wholesaler","brand,price,freshness",,daily,more than 6,15-20 minutes,20-30 minutes,30-40 minutes,6 to 8
